Exchange|Security Type|Symbol|Root symbol (for opt|Listed Currency|Company name|Additional company n|ISIN code|Contract name|Local instrument cod|Country|Market specific secu|Market specific segm|Listing market for t|Original exchange co|Exchange code|QS Symbol Suffix|Sedol|MS Performance ID|Global ID investment|MS Listing Exchange |MS Extended Support |Morningstar ID|Fund Type
146|2|AGL6I1600|AGL|AUD|||AU000AGLZQ75|29-SEP-16 C OPT 1600 [AGLZQ7]|AGLZQ7|AU|||146||XASX|ax|||||0||
146|2|AGL6I1650|AGL|AUD|||AU000AGLM981|29-SEP-16 C OPT 1650 [AGLM98]|AGLM98|AU|||146||XASX|ax|||||0||
146|2|AGL6I1700|AGL|AUD|||AU000AGLZK71|29-SEP-16 C OPT 1700 [AGLZK7]|AGLZK7|AU|||146||XASX|ax|||||0||
146|2|AGL6I1750|AGL|AUD|||AU000AGLM585|29-SEP-16 C OPT 1750 [AGLM58]|AGLM58|AU|||146||XASX|ax|||||0||
146|2|AGL6I1751|AGL|AUD|||AU000AGLTS89|29-SEP-16 C OPT 1751 [AGLTS8]|AGLTS8|AU|||146||XASX|ax|||||0||
146|2|AGL6I1800|AGL|AUD|||AU000AGLZI75|29-SEP-16 C OPT 1800 [AGLZI7]|AGLZI7|AU|||146||XASX|ax|||||0||
146|2|AGL6I1801|AGL|AUD|||AU000AGLTV84|29-SEP-16 C OPT 1801 [AGLTV8]|AGLTV8|AU|||146||XASX|ax|||||0||
146|2|AGL6I1850|AGL|AUD|||AU000AGLM189|29-SEP-16 C OPT 1850 [AGLM18]|AGLM18|AU|||146||XASX|ax|||||0||
146|2|AGL6I1851|AGL|AUD|||AU000AGLTW83|29-SEP-16 C OPT 1851 [AGLTW8]|AGLTW8|AU|||146||XASX|ax|||||0||
146|2|AGL6I1900|AGL|AUD|||AU000AGLB786|29-SEP-16 C OPT 1900 [AGLB78]|AGLB78|AU|||146||XASX|ax|||||0||
146|2|AGL6I1901|AGL|AUD|||AU000AGLTZ80|29-SEP-16 C OPT 1901 [AGLTZ8]|AGLTZ8|AU|||146||XASX|ax|||||0||
146|2|AGL6I1950|AGL|AUD|||AU000AGLLY89|29-SEP-16 C OPT 1950 [AGLLY8]|AGLLY8|AU|||146||XASX|ax|||||0||
146|2|AGL6I1951|AGL|AUD|||AU000AGLWG88|SEP-16 C OPT 1951 [AGLWG8]|AGLWG8|AU|||146||XASX|ax|||||0||
146|2|AGL6I2000|AGL|AUD|||AU000AGLCS88|29-SEP-16 C OPT 2000 [AGLCS8]|AGLCS8|AU|||146||XASX|ax|||||0||
146|2|AGL6I2001|AGL|AUD|||AU000AGLWJ85|SEP-16 C OPT 2001 [AGLWJ8]|AGLWJ8|AU|||146||XASX|ax|||||0||
146|2|AGL6I2050|AGL|AUD|||AU000AGLMY88|29-SEP-16 C OPT 2050 [AGLMY8]|AGLMY8|AU|||146||XASX|ax|||||0||
146|2|AGL6I2051|AGL|AUD|||AU000AGLJI91|29-SEP-16 C OPT 2051 [AGLJI9]|AGLJI9|AU|||146||XASX|ax|||||0||
146|2|AGL6I2100|AGL|AUD|||AU000AGLG181|29-SEP-16 C OPT 2100 [AGLG18]|AGLG18|AU|||146||XASX|ax|||||0||
146|2|AGL6I2101|AGL|AUD|||AU000AGLJL96|29-SEP-16 C OPT 2101 [AGLJL9]|AGLJL9|AU|||146||XASX|ax|||||0||
146|2|AGL6I2150|AGL|AUD|||AU000AGLUJ87|29-SEP-16 C OPT 2150 [AGLUJ8]|AGLUJ8|AU|||146||XASX|ax|||||0||
146|2|AGL6I2151|AGL|AUD|||AU000AGLJM95|29-SEP-16 C OPT 2151 [AGLJM9]|AGLJM9|AU|||146||XASX|ax|||||0||
146|2|AGL6I2200|AGL|AUD|||AU000AGLV289|29-SEP-16 C OPT 2200 [AGLV28]|AGLV28|AU|||146||XASX|ax|||||0||
146|2|AGL6I2250|AGL|AUD|||AU000AGLWY86|SEP-16 C OPT 2250 [AGLWY8]|AGLWY8|AU|||146||XASX|ax|||||0||
